CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AM,7879,AERO MEXICO,2022-09-04T05:15:00,2022-09-04T05:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AR,7871,AEROLINEAS ARGENTINAS S.A.,2022-09-04T05:15:00,2022-09-04T05:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
AZ,809,ITALIA TRASPORTO AEREO,2022-09-04T05:15:00,2022-09-04T05:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,8-11,A,ON TIME,בזמן
DL,6655,DELTA AIRLINES,2022-09-04T05:15:00,2022-09-04T05:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,8-11,A,ON TIME,בזמן
FB,1773,BULGARIA  AIR,2022-09-04T05:15:00,2022-09-04T05:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,8-11,A,ON TIME,בזמן
IB,2394,IBERIA,2022-09-04T05:15:00,2022-09-04T05:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
JU,7380,AIR SERBIA,2022-09-04T05:15:00,2022-09-04T05:15:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,8-11,A,ON TIME,בזמן
LY,395,EL AL ISRAEL AIRLINES,2022-09-04T05:15:00,2022-09-04T05:15:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,ON TIME,בזמן
FX,6293,FEDERAL EXPRESS,2022-09-04T05:25:00,2022-09-04T05:25:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,"","",NOT FINAL,לא סופי
LY,321,EL AL ISRAEL AIRLINES,2022-09-04T05:25:00,2022-09-04T05:25:00,D,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
TP,8902,AIR PORTUGAL,2022-09-04T05:25:00,2022-09-04T05:25:00,D,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
AA,8789,AMERICAN AIRLINES,2022-09-04T05:30:00,2022-09-04T05:30:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,51-55,B,ON TIME,בזמן
A3,457,AEGEAN  AIRLINES,2022-09-04T05:30:00,2022-09-04T05:30:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,58-60,C,ON TIME,בזמן
